epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6919,1.6243,2.35289,1.81685,0.15707,0.27709,0.09891,0.02991,2.33218,2.81042,2.42159,0.000663889,0.000663889,0.000663889
2,147.847,1.63646,2.13732,1.80688,0.25465,0.27055,0.15479,0.05814,2.30218,2.72462,2.34275,0.00130421,0.00130421,0.00130421
3,217.555,1.62774,2.06842,1.79606,0.27799,0.31897,0.18879,0.06097,2.14485,2.46506,2.13179,0.00191813,0.00191813,0.00191813
4,286.328,1.56872,1.9914,1.74524,0.36968,0.35714,0.26874,0.10855,1.97348,2.31207,1.98474,0.0018812,0.0018812,0.0018812
5,354.902,1.50763,1.9155,1.69291,0.42961,0.30419,0.29655,0.11891,2.03102,2.20169,2.04663,0.0018416,0.0018416,0.0018416
6,424.354,1.47282,1.86218,1.65974,0.38476,0.4064,0.32465,0.13564,1.8872,2.01331,1.91831,0.001802,0.001802,0.001802
7,492.982,1.43671,1.81682,1.63759,0.4807,0.43103,0.37006,0.1579,1.82652,1.95066,1.82924,0.0017624,0.0017624,0.0017624
8,561.886,1.40293,1.79134,1.62259,0.53036,0.46172,0.43521,0.19466,1.77558,1.87357,1.75665,0.0017228,0.0017228,0.0017228
9,630.872,1.37025,1.72441,1.59122,0.64433,0.41944,0.45188,0.20983,1.8321,1.80566,1.77841,0.0016832,0.0016832,0.0016832
10,699.005,1.35276,1.68763,1.5707,0.55413,0.47414,0.45212,0.22746,1.66391,1.7576,1.66545,0.0016436,0.0016436,0.0016436
11,766.482,1.33661,1.667,1.56225,0.59887,0.47537,0.48105,0.24441,1.59757,1.73446,1.62415,0.001604,0.001604,0.001604
12,834.043,1.31755,1.6454,1.55575,0.60482,0.52833,0.48773,0.25508,1.53918,1.70942,1.5747,0.0015644,0.0015644,0.0015644
13,902.011,1.30061,1.60374,1.54123,0.62103,0.46675,0.50103,0.26697,1.62216,1.66047,1.63369,0.0015248,0.0015248,0.0015248
14,972.604,1.29344,1.60777,1.53558,0.64467,0.52954,0.53988,0.27468,1.6081,1.65616,1.60773,0.0014852,0.0014852,0.0014852
15,1043.42,1.26094,1.57873,1.51722,0.62856,0.49261,0.5193,0.30053,1.52993,1.59447,1.54582,0.0014456,0.0014456,0.0014456
16,1116.44,1.25207,1.57013,1.50674,0.61147,0.52709,0.52265,0.28319,1.51677,1.59164,1.55683,0.001406,0.001406,0.001406
17,1188.87,1.24873,1.53763,1.50517,0.66404,0.55498,0.55781,0.31656,1.43976,1.49666,1.49044,0.0013664,0.0013664,0.0013664
18,1261.94,1.21858,1.48596,1.48472,0.64859,0.52217,0.55119,0.3142,1.51819,1.5489,1.53105,0.0013268,0.0013268,0.0013268
19,1333.92,1.22529,1.50544,1.48844,0.68104,0.53202,0.56776,0.32287,1.49512,1.53101,1.51203,0.0012872,0.0012872,0.0012872
20,1404.85,1.20552,1.48059,1.4739,0.63571,0.55172,0.57827,0.33166,1.39913,1.5053,1.46729,0.0012476,0.0012476,0.0012476
21,1476.24,1.21418,1.47875,1.4739,0.67925,0.54433,0.58927,0.35447,1.38614,1.45512,1.4545,0.001208,0.001208,0.001208
22,1548.44,1.19754,1.46067,1.46763,0.75291,0.54787,0.61787,0.37799,1.37115,1.40266,1.43672,0.0011684,0.0011684,0.0011684
23,1620.02,1.18537,1.44249,1.45537,0.74658,0.5197,0.6079,0.3718,1.37383,1.40373,1.43075,0.0011288,0.0011288,0.0011288
24,1691.6,1.1557,1.4187,1.4409,0.72676,0.53448,0.59712,0.37875,1.34334,1.38338,1.39697,0.0010892,0.0010892,0.0010892
25,1763.2,1.16887,1.43315,1.44886,0.75818,0.57266,0.63065,0.3741,1.39411,1.33974,1.4219,0.0010496,0.0010496,0.0010496
26,1833.32,1.16176,1.42385,1.44621,0.73319,0.55788,0.61915,0.39079,1.304,1.34687,1.4056,0.00101,0.00101,0.00101
27,1901.88,1.14436,1.39965,1.43099,0.72784,0.57306,0.63192,0.38847,1.33076,1.34572,1.37761,0.0009704,0.0009704,0.0009704
28,1971.45,1.13553,1.37197,1.41549,0.74633,0.58251,0.64511,0.40469,1.30701,1.28169,1.38208,0.0009308,0.0009308,0.0009308
29,2039.53,1.10597,1.35799,1.4038,0.74932,0.57794,0.64097,0.4047,1.31222,1.31983,1.3874,0.0008912,0.0008912,0.0008912
30,2107.49,1.11689,1.34708,1.41339,0.73595,0.59726,0.64918,0.41496,1.27629,1.27498,1.35573,0.0008516,0.0008516,0.0008516
31,2176.44,1.10989,1.34233,1.41173,0.76542,0.56404,0.66248,0.43249,1.24602,1.24685,1.34327,0.000812,0.000812,0.000812
32,2246.03,1.09779,1.32656,1.39727,0.75598,0.59975,0.66696,0.44563,1.2254,1.20098,1.31416,0.0007724,0.0007724,0.0007724
33,2313.7,1.10055,1.32424,1.40326,0.81206,0.57389,0.68188,0.4396,1.24199,1.23829,1.30761,0.0007328,0.0007328,0.0007328
34,2383.62,1.09797,1.3139,1.38893,0.82466,0.56184,0.68401,0.45788,1.22625,1.17346,1.29228,0.0006932,0.0006932,0.0006932
35,2455.47,1.0782,1.30102,1.37664,0.82015,0.60837,0.70284,0.46662,1.17907,1.15919,1.28105,0.0006536,0.0006536,0.0006536
36,2525.68,1.06651,1.28114,1.37396,0.79252,0.61823,0.69176,0.46853,1.16514,1.14617,1.27273,0.000614,0.000614,0.000614
37,2597.38,1.06671,1.27611,1.36761,0.79552,0.62069,0.70642,0.47212,1.16809,1.13706,1.26867,0.0005744,0.0005744,0.0005744
38,2667.76,1.05137,1.26558,1.36104,0.81445,0.60468,0.70374,0.47509,1.16684,1.12439,1.26891,0.0005348,0.0005348,0.0005348
39,2736.82,1.04468,1.25076,1.35801,0.82366,0.62808,0.70842,0.48266,1.14499,1.1098,1.25741,0.0004952,0.0004952,0.0004952
40,2805.9,1.04611,1.24871,1.35709,0.84738,0.61084,0.72242,0.49196,1.13873,1.09257,1.25394,0.0004556,0.0004556,0.0004556
41,2875.05,1.1514,1.1422,1.46262,0.82306,0.64161,0.7251,0.50812,1.09836,1.07919,1.22404,0.000416,0.000416,0.000416
42,2941.85,1.10956,1.09978,1.4454,0.82529,0.63994,0.72139,0.51225,1.07363,1.0425,1.19958,0.0003764,0.0003764,0.0003764
43,3008.42,1.08288,1.06187,1.4038,0.84155,0.65408,0.74173,0.52471,1.0644,1.0337,1.18889,0.0003368,0.0003368,0.0003368
44,3073.34,1.0662,1.03969,1.40349,0.9026,0.63912,0.75122,0.54009,1.07374,0.99952,1.2012,0.0002972,0.0002972,0.0002972
45,3138.37,1.05083,1.00993,1.37904,0.85104,0.67118,0.75003,0.53581,1.04384,0.97867,1.16161,0.0002576,0.0002576,0.0002576
46,3203.25,1.03471,0.99342,1.37582,0.85472,0.68106,0.76012,0.55027,1.01888,0.96136,1.14975,0.000218,0.000218,0.000218
47,3268.56,1.02371,0.98355,1.37155,0.86811,0.6647,0.7591,0.55069,0.99632,0.95405,1.1386,0.0001784,0.0001784,0.0001784
48,3333.55,0.99924,0.96514,1.34885,0.89462,0.6564,0.76502,0.55305,0.99502,0.94407,1.13649,0.0001388,0.0001388,0.0001388
49,3398.48,1.00765,0.96024,1.35386,0.88928,0.67261,0.76845,0.55832,0.99244,0.92488,1.13351,9.92e-05,9.92e-05,9.92e-05
50,3463.32,0.99058,0.9463,1.34485,0.89644,0.67241,0.77496,0.56457,0.98617,0.91144,1.12932,5.96e-05,5.96e-05,5.96e-05
